order_completed_at,unique_order_count,year,month,day,dayofweek_num,midmonth,payday,double_date
2024-05-29,137,2024,5,29,2,0,1,0
2024-05-30,134,2024,5,30,3,0,1,0
2024-05-31,157,2024,5,31,4,0,1,0
2024-06-01,142,2024,6,1,5,0,0,0
2024-06-02,158,2024,6,2,6,0,0,0
2024-06-03,124,2024,6,3,0,0,0,0
2024-06-04,136,2024,6,4,1,0,0,0
2024-06-05,118,2024,6,5,2,0,0,0
2024-06-06,150,2024,6,6,3,0,0,1
2024-06-07,137,2024,6,7,4,0,0,0
2024-06-08,124,2024,6,8,5,0,0,0
2024-06-09,115,2024,6,9,6,0,0,0
2024-06-10,113,2024,6,10,0,0,0,0
2024-06-11,132,2024,6,11,1,0,0,0
2024-06-12,136,2024,6,12,2,0,0,0
2024-06-13,131,2024,6,13,3,0,0,0
2024-06-14,136,2024,6,14,4,0,0,0
2024-06-15,148,2024,6,15,5,1,0,0
2024-06-16,130,2024,6,16,6,0,0,0
2024-06-17,114,2024,6,17,0,0,0,0
2024-06-18,118,2024,6,18,1,0,0,0
2024-06-19,138,2024,6,19,2,0,0,0
2024-06-20,120,2024,6,20,3,0,0,0
2024-06-21,152,2024,6,21,4,0,0,0
2024-06-22,138,2024,6,22,5,0,0,0
2024-06-23,126,2024,6,23,6,0,0,0
2024-06-24,149,2024,6,24,0,0,0,0
2024-06-25,138,2024,6,25,1,0,1,0
2024-06-26,166,2024,6,26,2,0,1,0
2024-06-27,145,2024,6,27,3,0,1,0
2024-06-28,142,2024,6,28,4,0,1,0
2024-06-29,126,2024,6,29,5,0,1,0
2024-06-30,161,2024,6,30,6,0,1,0
2024-07-01,142,2024,7,1,0,0,0,0
2024-07-02,158,2024,7,2,1,0,0,0
